rep_id,trial,acq_type,De_sigma_MoS,De_pi_MoS,p_be1_MoS,p_be2_MoS,p_bo1_MoS,p_bo2_MoS,p_bo3_MoS,p_bo4_MoS,p_bo5_MoS,p_bo6_MoS,p_ovun1_MoS,Dij_MoS,RvdW_MoS,Alfa_MoS,ro_sigma_MoS,Thetao_SMoS,Thetao_MoSMo,p_val1_SMoS,p_val1_MoSMo,p_val2_SMoS,p_val7_SMoS,p_val4_SMoS,Mo_RvdW,Mo_Dij,Mo_gamma,Mo_Alfa,Mo_gamma_w,S_RvdW,S_Dij,S_gamma,S_Alfa,S_gamma_w,Mo_p_boc4,Mo_p_boc3,Mo_p_boc5,Mo_p_ovun2,Mo_p_val3,Mo_p_val5,S_p_ovun2,S_p_val3,loss_eV
1,1,warm_start,28.921700,118.563400,0.176200,1.287100,-0.180200,4.565100,-0.154600,7.257500,-0.179100,2.761300,0.045300,0.059600,1.039600,7.420400,2.906500,66.689600,24.085400,133.142900,21.641600,0.901300,0.413000,1.398100,0.863800,0.255200,0.315200,33.380300,51.046600,1.532600,0.034700,0.769300,9.704800,0.911000,1.051500,0.060800,0.931000,-17.981500,0.593600,0.657600,-15.736300,2.880200,4.638321
2,2,LHS,34.742215,84.097220,0.181610,1.044983,-0.143766,3.346978,-0.128680,4.456335,-0.200163,3.915481,0.042329,0.059421,1.048510,7.072433,2.922812,63.499358,23.189932,161.732298,24.781432,0.866682,0.366166,1.414546,0.822813,0.240510,0.278362,30.299013,48.054999,1.618405,0.035052,0.753928,9.846551,1.059021,1.361158,0.099276,0.996537,-17.772011,0.619994,0.720763,-13.466112,3.596697,4.692986
3,3,LHS,27.917859,130.824210,0.133772,0.951421,-0.141397,4.131545,-0.248751,4.827688,-0.142951,2.075531,0.028190,0.061870,1.075306,8.056947,2.881395,65.276458,22.642563,117.627248,24.938201,0.804242,0.456131,1.357085,0.843530,0.312408,0.353585,29.569253,57.173193,1.561204,0.028415,0.855760,8.956021,0.813295,1.429429,0.050654,1.027892,-22.328338,0.764992,0.779611,-15.033924,2.405829,4.925225
4,4,LHS,31.655466,150.085865,0.113113,1.916430,-0.238204,5.961074,-0.160626,8.866730,-0.131232,2.488271,0.045830,0.054202,0.995169,7.372740,2.926812,67.884425,26.265999,165.120880,20.660388,1.051487,0.428793,1.626333,0.874851,0.234027,0.341376,33.261394,52.121305,1.534776,0.027172,0.728453,10.796243,1.014227,1.249222,0.060267,1.187602,-21.292715,0.743706,0.790720,-15.383427,2.708518,5.032905
5,5,LHS,24.211178,92.337991,0.226618,1.056150,-0.171525,4.636651,-0.142869,6.793012,-0.234342,2.273972,0.076299,0.053427,1.023521,7.240845,3.047051,70.134624,25.857007,140.656681,22.447304,0.920260,0.517562,1.120455,0.889251,0.191904,0.339780,35.890978,54.166454,1.462545,0.042514,0.864112,10.177549,1.043533,1.035198,0.099456,0.777592,-20.532993,0.655511,0.754747,-16.110853,2.976971,4.788608
6,6,LHS,37.265480,127.526995,0.295058,1.598149,-0.200978,5.059702,-0.194842,10.835554,-0.266712,4.472242,0.069106,0.070373,1.058010,6.973765,2.958427,64.470439,25.380555,134.803574,19.065415,1.100901,0.403860,1.749080,0.929666,0.313581,0.315677,38.212490,56.642775,1.477575,0.041873,0.689315,9.128634,0.889390,0.777749,0.075642,0.849495,-17.236378,0.515109,0.744173,-19.423707,2.928056,4.259888
7,7,LHS,22.163016,110.467043,0.265083,0.808527,-0.178461,4.464523,-0.125926,8.561079,-0.224499,1.522618,0.057706,0.050694,1.119400,8.038580,3.063677,68.885726,23.994552,113.501543,24.077144,0.892001,0.490844,1.712060,0.814060,0.205155,0.302883,32.115161,45.244756,1.572359,0.038214,0.782866,8.552105,0.947759,1.546711,0.044653,1.390552,-20.004667,0.492438,0.545131,-13.062474,3.404046,4.844988
8,8,LHS,22.834032,115.241801,0.089909,2.180609,-0.193302,4.894494,-0.104996,5.740686,-0.190603,2.813587,0.051188,0.063254,1.073636,6.739863,2.784692,70.294601,22.345580,151.434208,22.945332,0.840275,0.478642,1.141270,0.921372,0.285310,0.310665,37.332085,44.194872,1.498179,0.039371,0.842613,10.476835,0.897680,1.157642,0.041543,0.762232,-13.780397,0.726609,0.699999,-14.148523,3.122474,5.227730
9,9,LHS,25.190977,97.597258,0.281074,0.743681,-0.231796,5.328420,-0.236999,9.892233,-0.245990,2.934811,0.023419,0.055297,1.086310,7.584047,2.768312,63.894752,22.998574,122.876564,17.267149,1.146305,0.389177,1.277759,0.896774,0.298565,0.299292,30.787035,51.280431,1.545739,0.031815,0.814376,9.956095,1.025918,1.063742,0.038191,1.260358,-14.605680,0.606045,0.604540,-18.051988,2.657873,5.339936
10,10,LHS,32.786704,146.553321,0.156895,1.810765,-0.187724,6.079396,-0.086762,7.848644,-0.115899,4.196470,0.054423,0.070024,0.999274,7.448387,2.993839,68.684044,23.806561,131.978207,20.215097,0.729444,0.440712,1.454260,0.861606,0.217151,0.294204,33.937394,61.126014,1.599069,0.036709,0.880715,9.620069,0.989842,0.730596,0.086795,0.930962,-18.813789,0.583169,0.643938,-16.890882,2.475424,4.909023
