name,lo,hi,init
De_sigma_MoS,20.24519000,37.59821000,28.92170000
De_pi_MoS,82.99438000,154.13242000,118.56340000
p_be1_MoS,0.08810000,0.29954000,0.17620000
p_bo5_MoS,-0.28656000,-0.10746000,-0.17910000
p_bo6_MoS,1.38065000,4.69421000,2.76130000
p_ovun1_MoS,0.02265000,0.07701000,0.04530000
p_be2_MoS,0.64355000,2.18807000,1.28710000
p_bo3_MoS,-0.26282000,-0.07730000,-0.15460000
p_bo4_MoS,4.35450000,10.88625000,7.25750000
p_bo1_MoS,-0.24327000,-0.12614000,-0.18020000
p_bo2_MoS,3.19557000,6.16288500,4.56510000
Dij_MoS,0.05066000,0.07152000,0.05960000
RvdW_MoS,0.97722400,1.12276800,1.03960000
Alfa_MoS,6.67836000,8.53346000,7.42040000
ro_sigma_MoS,2.76117500,3.10995500,2.90650000
Thetao_SMoS,63.35512000,71.35787200,66.68960000
p_val1_SMoS,106.51432000,166.42862500,133.14290000
p_val2_SMoS,0.70301400,1.15366400,0.90130000
p_val7_SMoS,0.32214000,0.52864000,0.41300000
p_val4_SMoS,1.09051800,1.78956800,1.39810000
Thetao_MoSMo,22.15856800,26.49394000,24.08540000
p_val1_MoSMo,16.88044800,27.70124800,21.64160000
Mo_RvdW,0.81197200,0.93290400,0.86380000
Mo_Dij,0.19140000,0.33176000,0.25520000
Mo_gamma,0.27737600,0.36248000,0.31520000
Mo_Alfa,29.37466400,38.38734500,33.38030000
Mo_gamma_w,41.85821200,62.27685200,51.04660000
Mo_p_boc4,0.68347500,1.57725000,1.05150000
Mo_p_boc3,0.03344000,0.10944000,0.06080000
Mo_p_boc5,0.60515000,1.39650000,0.93100000
Mo_p_ovun2,-23.37595000,-13.48612500,-17.98150000
Mo_p_val3,0.44520000,0.77168000,0.59360000
Mo_p_val5,0.53923200,0.80227200,0.65760000
S_RvdW,1.44064400,1.62455600,1.53260000
S_Dij,0.02706600,0.04337500,0.03470000
S_gamma,0.67698400,0.88469500,0.76930000
S_Alfa,8.54022400,11.16052000,9.70480000
S_gamma_w,0.77435000,1.07498000,0.91100000
S_p_ovun2,-19.67037500,-12.27431400,-15.73630000
S_p_val3,2.24655600,3.60025000,2.88020000
